date;airPressure_7h;airPressure_14h;airPressure_19h;skyCover_7h;skyCover_14h;skyCover_19h;temp_7h;temp_14h;temp_19h;hum_7h;hum_14h;hum_19h;windDir_7h;windBeauf_7h;windDir_14h;windBeauf_14h;windDir_19h;windBeauf_19h;precip;precipType
01.01.2023;999.1;1000.1;1001.6;9;5;0;37.94;50.72;41.9;98;76;95;N;1;S;2;W;2;traces;rain
02.01.2023;999;997.8;999.7;10;10;10;40.82;40.64;43.16;100;100;100;S;2;S;2;NW;2;0.1;rain
03.01.2023;1003;1004;1005.5;8;10;10;38.480000000000004;50.72;46.94;99;73;84;;0;NW;2;W;2;0;
04.01.2023;1004.9;1000.8;998;1;6;10;34.52;42.620000000000005;45.86;97;84;87;SW;1;E;1;SW;2;0.9;rain
05.01.2023;989.7;991.5;994.1;8;8;1;54.86;52.879999999999995;51.26;66;69;63;W;4;NW;4;W;4;5.2;rain
06.01.2023;998.1;996.8;997;7;9;9;45.5;53.06;49.82;77;74;78;W;3;S;1;W;2;0;
07.01.2023;997;993.7;992.7;9;6;4;48.2;51.26;44.06;75;72;86;W;2;E;3;SE;2;0;
08.01.2023;989.4;986.5;985.7;10;10;8;39.2;40.28;39.92;98;89;87;SE;2;S;2;W;1;0.3;rain
09.01.2023;976.5;979.5;981.1;10;10;10;40.28;46.04;45.32;97;77;72;W;1;W;4;W;3;3;rain
10.01.2023;987;992.6;996.6;10;8;9;42.620000000000005;47.3;44.6;81;58;66;NW;4;NW;4;NW;3;0.6;rain
11.01.2023;;993.3;992.5;0;9;8;32.9;44.42;44.42;86;58;61;N;1;S;2;SW;2;0.2;rain
12.01.2023;996.1;994.1;993.8;9;9;9;45.86;53.42;49.1;72;46;57;W;3;W;4;SW;2;0;
13.01.2023;991.1;989.6;991.6;9;9;10;42.8;50.36;43.7;74;62;84;SW;2;SW;1;S;2;1.2;rain
14.01.2023;996.7;995.4;992.1;3;1;7;43.7;51.620000000000005;44.96;70;46;59;W;4;W;3;S;2;0;
15.01.2023;984.9;982.7;985.2;9;10;10;41.36;41.18;43.7;78;90;83;SE;2;S;2;W;3;9.5;rain
16.01.2023;981.3;971.9;966.8;10;9;10;39.92;40.1;37.22;74;77;86;SW;2;S;3;S;3;0;
17.01.2023;967.3;967;965.5;10;9;10;34.34;44.24;39.56;92;65;89;W;1;SE;3;SE;3;4;rain
18.01.2023;965;970.6;974.8;10;7;10;36.14;46.22;38.480000000000004;95;57;78;SE;1;SW;2;NW;1;traces;rain
19.01.2023;979.9;981.5;984.1;9;10;9;36.5;;34.88;69;60;70;NW;3;NW;3;W;3;0;
20.01.2023;987.1;987.8;989.5;8;9;10;28.58;34.88;34.7;80;65;65;W;2;NW;4;NW;4;4.5;snow
21.01.2023;990.6;991.8;994.3;10;10;10;31.82;32.72;32.54;82;76;80;NW;4;NW;3;NW;3;1.2;snow
22.01.2023;996.9;998.9;1001.8;10;10;9;32.18;33.8;33.62;87;86;86;NW;2;NW;3;NW;1;5.4;snow
23.01.2023;1004.4;1004.3;1005.2;10;10;10;33.26;36.86;37.58;92;84;84;N;3;NW;2;N;2;0.3;rain and graupel
24.01.2023;1007.8;1008.7;1009.7;10;10;10;36.68;37.94;37.58;85;81;79;NW;2;N;2;NW;2;0;
